41       47,64,64,56,39,3,48,46,24,27,56,40,41,32,0,0,25,56,40,32,0,0,24,56,40,32,0,0,24,56,40,32,0,0,24,56,40,32,0,0,24,56,44,38,0,0,24,56,45,40,0,0,24,56,40,40,0,0,30,55,40,58,48,48,63,32,14,32,32,32,25,0
42       0,0,0,24,19,0,0,0,27,64,27,0,0,14,63,28,0,0,0,48,45,0,0,0,11,64,39,32,15,0,28,64,58,51,64,24,35,56,3,0,33,54,40,40,0,0,16,56,40,40,0,0,16,56,30,53,1,0,29,54,8,58,52,44,63,24,0,7,30,32,16,0
43       28,64,64,57,56,34,32,55,24,24,24,10,32,40,0,0,0,0,32,41,3,5,0,0,37,61,62,64,46,3,24,55,21,17,56,31,0,0,0,0,29,48,0,0,0,0,31,48,14,17,0,0,28,42,40,50,2,0,45,35,9,61,56,51,61,10,0,8,30,30,9,10
44       0,0,29,30,0,0,0,0,55,60,0,0,0,4,64,64,8,0,0,15,64,64,20,0,0,28,55,51,32,0,0,39,41,37,44,0,0,52,28,23,58,0,1,62,16,11,64,5,13,64,51,50,64,18,25,60,40,40,58,30,36,45,0,0,41,43,24,19,0,0,16,26
45       0,14,39,39,16,0,16,63,50,48,64,21,45,47,0,0,41,51,48,33,0,0,32,56,48,34,0,0,32,56,50,40,0,0,32,56,48,40,0,0,27,56,48,36,0,0,25,56,48,32,0,0,25,56,43,53,3,0,43,49,13,61,58,54,63,17,0,10,31,32,11,0
46       26,38,40,40,40,17,44,55,40,45,48,27,48,32,0,0,0,0,44,32,0,0,0,0,45,55,53,53,30,0,41,63,34,37,63,28,0,5,0,0,39,51,0,0,0,0,32,49,20,15,0,0,32,48,48,49,0,0,43,45,17,63,50,52,63,16,0,13,32,32,11,0
47       24,64,64,64,64,55,24,59,18,16,16,14,24,56,0,0,0,0,24,56,0,0,0,0,24,63,54,55,29,0,18,61,43,36,62,27,0,2,0,0,34,51,0,0,0,0,18,56,22,32,0,0,21,56,24,61,6,0,43,48,2,54,60,55,63,17,0,4,29,32,13,0
48       0,0,0,33,15,0,0,0,36,63,28,0,0,21,64,24,0,0,1,57,43,0,0,0,20,64,47,40,19,0,36,64,57,53,64,25,46,54,3,0,41,54,48,40,0,0,24,56,48,40,0,0,24,56,41,54,3,0,37,56,12,61,56,52,64,27,0,11,32,32,19,0
49       11,48,48,48,48,42,17,64,33,32,32,28,24,64,0,0,0,0,24,64,0,0,0,0,24,64,41,45,27,0,21,64,51,44,63,28,0,9,1,0,37,52,0,0,0,0,22,56,24,30,0,0,22,56,31,59,3,0,39,48,6,58,59,52,63,16,0,7,30,32,11,0
50       0,0,7,50,21,0,0,5,55,63,25,0,0,44,64,21,0,0,13,64,36,0,0,0,35,64,58,54,28,0,51,64,50,50,64,29,58,45,0,0,44,53,64,32,0,0,32,56,64,34,0,0,33,56,50,54,6,6,56,47,16,62,64,64,61,14,0,9,30,30,9,0
51       0,30,56,59,35,1,23,64,41,37,64,30,39,52,0,0,44,47,40,49,0,0,41,48,25,63,26,25,62,31,7,63,64,64,64,11,38,60,15,12,56,43,48,42,0,0,34,56,48,37,0,0,34,56,38,56,7,8,56,45,8,58,64,64,61,13,0,4,25,26,6,0
52       0,0,3,33,3,0,0,2,49,61,16,0,0,37,60,11,0,0,12,64,23,0,0,0,39,64,36,32,7,0,55,64,50,57,58,9,64,35,0,3,54,38,64,16,0,0,40,48,64,17,0,0,40,48,59,37,0,4,56,38,25,64,54,61,58,9,0,16,32,30,7,0
53       0,16,42,46,22,0,12,63,54,52,64,24,40,51,1,0,47,51,48,40,0,0,35,55,36,56,6,5,53,41,5,61,63,62,64,6,29,61,30,30,61,30,53,37,0,0,37,53,56,25,0,0,32,56,51,40,0,0,45,48,24,64,46,49,64,21,0,21,32,32,18,0
54       15,16,50,50,32,1,14,63,43,36,61,35,38,48,0,0,30,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,37,0,0,24,56,48,40,0,0,24,56,41,52,2,0,40,50,12,61,60,58,63,18,0,11,32,32,12,0
55       28,56,56,56,56,38,32,57,32,32,32,23,39,48,0,0,0,0,40,48,3,8,0,0,40,63,63,64,53,8,27,60,27,18,55,43,0,0,0,0,26,56,0,0,0,0,24,56,17,21,0,0,24,56,40,53,4,1,46,46,11,61,61,59,61,14,0,8,30,30,9,0
56       44,48,48,58,45,8,56,45,32,46,61,11,56,24,0,0,49,38,56,24,0,0,42,42,56,33,12,25,62,24,56,64,64,64,61,4,56,30,8,12,55,35,56,24,0,0,34,48,56,24,0,0,32,48,56,25,0,0,44,43,56,61,56,58,61,13,25,32,32,29,9,0
57       14,27,17,40,6,0,0,6,58,52,6,0,0,45,54,3,0,0,15,64,13,0,0,0,38,61,43,42,13,0,54,62,42,50,61,11,64,25,0,1,52,35,64,16,0,0,40,40,64,16,0,0,40,40,54,40,0,3,55,32,20,63,59,61,54,5,0,12,32,27,4,0
58       0,0,10,49,6,0,0,7,58,56,10,0,0,46,56,6,0,0,16,64,17,0,0,0,41,64,48,45,14,0,55,63,44,53,63,15,64,32,0,1,52,43,64,24,0,0,40,48,64,24,0,0,40,48,57,44,1,2,52,43,20,63,60,60,61,12,0,13,32,30,6,0
59       28,46,48,40,29,12,48,55,40,48,63,19,48,32,0,0,40,51,48,32,0,0,27,56,47,37,7,13,55,43,47,64,64,64,64,16,48,47,16,18,52,47,48,40,0,0,25,56,48,40,0,0,24,56,48,40,0,0,31,56,48,59,48,50,63,35,20,32,32,32,25,1
60       0,9,30,30,8,0,13,61,54,54,61,13,44,45,0,1,44,43,50,32,0,0,28,52,50,32,0,0,25,56,48,32,0,0,26,56,48,32,0,0,24,55,48,32,0,0,24,48,48,30,0,0,27,55,46,40,0,0,41,50,17,63,46,48,64,22,0,15,32,32,18,0
61       22,40,40,34,40,22,42,59,48,48,48,30,46,40,0,0,0,0,48,40,0,0,0,0,48,55,51,54,30,0,41,63,38,36,63,27,0,6,0,0,36,47,0,0,0,0,32,52,13,9,0,0,32,48,50,43,0,1,49,43,19,63,52,54,63,15,0,15,32,32,12,0
62       35,48,48,55,26,1,48,45,24,31,61,23,48,32,0,0,30,51,48,32,0,0,28,53,48,41,16,22,59,31,48,64,64,64,64,11,48,32,0,1,42,47,48,32,0,0,24,56,48,32,0,0,24,56,48,28,0,1,39,39,48,64,56,58,58,9,11,16,16,19,6,0
63       0,0,0,29,10,0,0,0,36,61,18,0,0,24,63,15,0,0,2,58,30,0,0,0,20,64,43,39,18,0,37,64,44,42,63,21,48,41,0,0,38,47,48,32,0,0,24,56,48,32,0,0,27,56,42,49,2,2,49,43,9,57,61,60,57,9,0,4,22,20,2,0
64       8,33,39,43,22,0,14,63,41,37,63,24,38,40,0,0,32,50,48,32,0,0,24,56,48,32,0,0,24,56,48,32,0,0,24,53,48,32,0,0,24,49,48,32,0,0,24,48,47,27,0,0,24,48,37,47,2,1,47,39,8,58,60,60,57,8,0,4,21,21,3,0
65       0,0,0,27,14,0,0,0,36,62,22,0,0,24,63,15,0,0,2,58,32,0,0,0,21,64,39,38,15,0,37,64,46,47,63,17,48,36,0,0,43,46,48,24,0,0,32,53,55,24,0,0,32,48,43,48,7,1,47,43,9,58,62,60,60,13,0,4,23,16,5,0
66       63,64,64,57,23,0,64,29,16,30,63,15,64,16,0,0,44,39,64,16,0,0,44,39,64,29,16,32,64,17,64,64,64,64,61,8,64,18,0,4,53,38,64,16,0,0,40,48,64,16,0,0,36,48,64,16,0,1,48,40,64,55,48,54,63,13,31,32,32,31,11,0
67       0,23,44,53,34,1,20,63,32,29,61,34,44,39,0,0,29,55,48,32,0,0,24,56,48,39,0,0,24,56,48,40,0,0,18,56,46,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,33,57,4,0,36,54,5,54,61,55,63,24,0,4,31,32,13,0
68       0,20,40,37,13,0,24,62,41,48,61,13,53,31,0,0,46,40,56,19,0,0,32,48,56,22,0,0,32,48,56,24,0,0,32,48,56,24,0,0,32,48,56,24,0,0,32,48,56,24,0,0,32,48,47,39,0,0,43,44,17,63,48,48,63,17,0,14,32,32,15,0
69       0,16,36,39,13,0,25,63,46,56,62,11,54,28,0,3,53,31,59,16,0,0,40,40,56,16,0,0,40,40,56,16,0,0,40,40,56,19,0,0,40,40,56,24,0,0,40,40,56,24,0,0,40,40,50,38,0,0,50,33,22,64,49,50,58,6,0,17,32,31,8,0
